province_name,district_code,district_name,area_name,area_type,gender,work_activity,age_group,count
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,HOUSEKEEPING,75 AND ABOVE,3756
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,OTHER,10 AND ABOVE,45826
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,OTHER,10 - 14,1263
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,OTHER,15 - 19,2711
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,OTHER,20 - 24,4913
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,OTHER,25 - 29,5182
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,OTHER,30 - 34,5052
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,OTHER,35 - 39,4365
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,OTHER,40 - 44,3609
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,OTHER,45 - 49,3180
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,OTHER,50 - 54,3125
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,OTHER,55 - 59,2600
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,OTHER,60 - 64,2615
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,OTHER,65 - 69,2101
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,OTHER,70 - 74,1826
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,OTHER,75 AND ABOVE,3284
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,10 AND ABOVE,488733
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,10 - 14,61589
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,15 - 19,60437
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,20 - 24,59404
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,25 - 29,55260
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,30 - 34,49572
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,35 - 39,40963
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,40 - 44,33493
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,45 - 49,28358
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,50 - 54,27568
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,55 - 59,19836
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,60 - 64,17708
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,65 - 69,12342
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,70 - 74,9307
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,75 AND ABOVE,12896
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,FEMALE,WORKING,10 AND ABOVE,23773
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,FEMALE,WORKING,10 - 14,573
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,FEMALE,WORKING,15 - 19,1184
