province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,5 PERSONS,7,27035,14.47,2.52,2920,1.56,9.55,242
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,6 PERSONS,7,26892,14.39,2.68,2920,1.56,9.55,262
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,7 PERSONS,7,22479,12.03,2.87,2920,1.56,9.55,306
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,8 PERSONS,7,16915,9.05,3.07,2920,1.56,9.55,287
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,9 PERSONS,7,11885,6.36,3.31,2920,1.56,9.55,247
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,10 PERSONS AND ABOVE,7,27023,14.46,4.13,2920,1.56,9.55,1232
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,1 PERSON,8,3581,1.92,1.96,1676,0.9,10.69,14
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,2 PERSONS,8,12696,6.79,1.99,1676,0.9,10.69,26
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,3 PERSONS,8,16148,8.64,2.13,1676,0.9,10.69,33
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,4 PERSONS,8,22224,11.89,2.32,1676,0.9,10.69,71
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,5 PERSONS,8,27035,14.47,2.52,1676,0.9,10.69,107
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,6 PERSONS,8,26892,14.39,2.68,1676,0.9,10.69,123
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,7 PERSONS,8,22479,12.03,2.87,1676,0.9,10.69,153
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,8 PERSONS,8,16915,9.05,3.07,1676,0.9,10.69,140
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,9 PERSONS,8,11885,6.36,3.31,1676,0.9,10.69,159
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,10 PERSONS AND ABOVE,8,27023,14.46,4.13,1676,0.9,10.69,850
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,1 PERSON,9 AND MORE,3581,1.92,1.96,2336,1.25,12.33,19
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,2 PERSONS,9 AND MORE,12696,6.79,1.99,2336,1.25,12.33,44
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,3 PERSONS,9 AND MORE,16148,8.64,2.13,2336,1.25,12.33,45
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,4 PERSONS,9 AND MORE,22224,11.89,2.32,2336,1.25,12.33,73
