province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,6 PERSONS,7,18663,16.39,2.56,1435,1.26,9.32,169
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,7 PERSONS,7,15064,13.23,2.68,1435,1.26,9.32,157
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,8 PERSONS,7,10523,9.24,2.85,1435,1.26,9.32,130
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,9 PERSONS,7,7000,6.15,3.06,1435,1.26,9.32,114
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,10 PERSONS AND ABOVE,7,16610,14.59,3.81,1435,1.26,9.32,556
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,1 PERSON,8,2129,1.87,1.98,1000,0.88,9.81,6
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,2 PERSONS,8,5481,4.81,2.02,1000,0.88,9.81,20
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,3 PERSONS,8,8215,7.21,2.19,1000,0.88,9.81,30
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,4 PERSONS,8,12621,11.08,2.35,1000,0.88,9.81,55
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,5 PERSONS,8,17576,15.43,2.47,1000,0.88,9.81,90
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,6 PERSONS,8,18663,16.39,2.56,1000,0.88,9.81,112
