province_name,district_code,district_name,area_name,area_type,gender,total_population,literacy_ratio,literacy_status,count
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,RURAL,MALE,282395,61.65,TOTAL LITERATE,174104
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,RURAL,MALE,282395,61.65,FORMAL LITERATE,172807
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,RURAL,MALE,282395,61.65,INFORMAL LITERATE,1297
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,RURAL,FEMALE,278037,39.84,ILLITERATE,167274
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,RURAL,FEMALE,278037,39.84,TOTAL LITERATE,110763
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,RURAL,FEMALE,278037,39.84,FORMAL LITERATE,109091
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,RURAL,FEMALE,278037,39.84,INFORMAL LITERATE,1672
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,RURAL,TRANSGENDER,65,33.85,ILLITERATE,43
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,RURAL,TRANSGENDER,65,33.85,TOTAL LITERATE,22
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,RURAL,TRANSGENDER,65,33.85,FORMAL LITERATE,20
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,RURAL,TRANSGENDER,65,33.85,INFORMAL LITERATE,2
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,URBAN,ALL SEXES,109322,75.97,ILLITERATE,26271
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,URBAN,ALL SEXES,109322,75.97,TOTAL LITERATE,83051
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,URBAN,ALL SEXES,109322,75.97,FORMAL LITERATE,82595
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,URBAN,ALL SEXES,109322,75.97,INFORMAL LITERATE,456
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,URBAN,MALE,55226,80.52,ILLITERATE,10756
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,URBAN,MALE,55226,80.52,TOTAL LITERATE,44470
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,URBAN,MALE,55226,80.52,FORMAL LITERATE,44267
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,URBAN,MALE,55226,80.52,INFORMAL LITERATE,203
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,URBAN,FEMALE,54073,71.34,ILLITERATE,15500
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,URBAN,FEMALE,54073,71.34,TOTAL LITERATE,38573
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,URBAN,FEMALE,54073,71.34,FORMAL LITERATE,38321
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,URBAN,FEMALE,54073,71.34,INFORMAL LITERATE,252
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,URBAN,TRANSGENDER,23,34.78,ILLITERATE,15
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,URBAN,TRANSGENDER,23,34.78,TOTAL LITERATE,8
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,URBAN,TRANSGENDER,23,34.78,FORMAL LITERATE,7
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,URBAN,TRANSGENDER,23,34.78,INFORMAL LITERATE,1
